carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
UA,658,1,0,1,0
AA,569,2,0,1,0
UA,302,6,0,1,0
AA,569,2,0,1,0
UA,332,5,0,1,1
UA,658,1,0,1,0
UA,263,5,0,1,0
AA,332,6,0,1,0
AA,395,6,0,1,0
UA,332,2,0,1,0
AA,332,6,0,1,0
UA,355,4,0,1,1
AA,616,6,0,0,0
AA,398,5,0,1,0
UA,658,2,0,1,0
UA,658,3,0,1,0
AA,644,3,1,1,0
UA,569,3,0,1,0
AA,569,4,0,1,0
AA,648,6,0,0,0
UA,332,5,0,1,0
AA,334,6,0,1,0
AA,658,5,0,1,0
AA,658,1,0,1,0
UA,390,7,0,1,0
AA,439,1,0,1,0
AA,198,3,0,1,0
AA,612,5,0,1,0
AA,565,4,0,1,0
UA,398,6,0,1,0
AA,645,5,1,1,1
AA,438,7,0,1,0
UA,396,3,0,1,0
AA,263,0,0,1,1
AA,612,4,0,0,0
UA,311,5,0,1,1
AA,302,6,0,1,0
AA,628,5,0,1,0
UA,433,1,0,1,0
AA,448,7,0,1,0
AA,198,3,0,1,0
AA,446,4,0,1,0
AA,458,7,0,1,0
AA,332,7,0,1,0
UA,658,2,0,1,0
AA,658,2,0,1,0
AA,393,5,0,1,0
AA,658,5,0,1,0
AA,428,1,0,1,0
AA,612,2,1,1,0
AA,290,4,0,1,0
AA,332,6,0,1,0
UA,398,5,0,1,0
UA,456,1,0,1,0
AA,303,7,0,1,0
AA,336,1,0,1,0
AA,300,7,0,1,0
AA,645,3,0,0,0
UA,458,2,0,1,1
AA,571,7,0,1,1
UA,298,7,0,1,0
AA,438,7,0,1,0
UA,292,4,0,1,1
AA,332,7,0,1,0
UA,638,2,0,1,0
UA,354,5,0,1,0
AA,398,6,0,1,0
UA,438,6,0,1,0
AA,364,6,0,1,0
UA,332,6,0,1,0
AA,448,2,0,1,1
UA,658,1,0,1,0
AA,637,1,0,1,0
AA,398,2,0,1,0
AA,658,3,0,1,0
AA,569,5,0,1,0
AA,199,3,0,1,0
UA,433,3,0,1,1
UA,386,2,0,1,1
AA,456,6,0,1,1
AA,658,4,0,1,0
UA,658,1,0,1,0
UA,658,3,0,1,0
UA,402,2,0,1,1
AA,1502,0,1,0,0
AA,386,1,0,1,0
AA,443,1,0,1,0
AA,658,5,0,1,0
AA,439,1,0,1,0
UA,436,5,0,1,0
UA,632,1,0,1,0
AA,364,1,0,1,0
UA,291,7,0,1,1
AA,300,6,0,1,0
AA,448,7,0,1,0
AA,658,4,0,1,0
AA,364,4,0,1,0
UA,658,2,0,1,0
UA,390,7,0,1,0
UA,424,5,0,1,0
UA,658,2,0,1,0
UA,198,5,0,1,0
AA,648,5,0,1,0
AA,198,6,0,1,0
AA,386,1,0,1,0
UA,401,5,0,1,0
AA,639,4,0,1,0
UA,569,3,0,1,0
AA,339,4,0,1,1
AA,658,2,0,1,0
UA,446,2,0,1,0
UA,658,0,0,1,0
AA,398,1,0,1,0
AA,1064,0,1,1,0
UA,658,4,0,1,0
UA,332,5,0,1,0
AA,645,6,0,0,0
AA,645,4,0,1,0
AA,458,5,0,1,0
AA,569,1,0,1,0
AA,395,7,0,1,0
AA,658,1,0,1,0
AA,448,7,0,1,0
AA,661,2,0,1,0
AA,658,1,0,1,0
UA,438,5,0,1,0
UA,398,4,0,1,0
UA,632,3,0,1,0
AA,1502,2,1,0,0
AA,658,1,0,1,0
AA,302,7,0,1,0
UA,433,5,0,1,0
AA,442,1,0,1,0
AA,658,2,0,1,0
UA,433,2,0,1,0
AA,658,5,0,1,0
AA,332,5,0,1,0
AA,628,3,0,1,0
UA,438,7,0,1,0
AA,374,4,0,1,0
AA,332,1,0,1,0
AA,386,1,0,1,0
UA,632,0,0,1,0
AA,332,5,0,1,0
AA,638,2,0,1,0
AA,568,5,0,1,0
UA,398,3,0,1,0
UA,658,3,0,1,0
AA,458,7,0,1,0
AA,658,4,0,1,0
AA,439,1,0,1,1
AA,311,2,0,1,1
AA,374,2,0,1,1
AA,404,1,0,1,0
UA,448,7,0,1,0
AA,398,5,0,1,0
UA,751,4,1,0,0
AA,621,1,1,1,0
UA,658,2,0,1,0
AA,438,7,0,1,0
UA,387,5,0,1,0
UA,658,1,0,1,0
UA,387,0,0,1,0
UA,441,6,0,1,0
AA,178,7,0,1,1
UA,625,6,0,1,0
AA,658,4,0,1,0
AA,386,2,0,1,0
AA,612,5,0,0,0
UA,457,2,0,1,0
AA,428,1,0,1,0
AA,454,1,0,1,0
AA,428,7,0,1,0
AA,658,3,0,1,0
AA,612,2,0,1,0
UA,638,3,0,1,0
UA,637,1,0,1,0
AA,658,3,0,1,0
AA,658,1,0,1,0
AA,658,5,0,1,0
UA,658,5,0,1,0
AA,395,7,0,1,0
UA,438,7,0,1,0
AA,328,5,0,1,1
AA,198,2,0,1,0
UA,387,6,0,1,0
AA,645,1,1,1,0
AA,198,2,0,1,1
AA,618,2,0,1,0
AA,642,6,1,0,1
AA,456,3,0,1,1
AA,568,6,0,1,0
AA,661,4,0,1,0
UA,390,7,0,1,0
UA,354,3,0,1,0
AA,644,4,1,1,0
AA,265,4,0,1,1
AA,658,1,0,1,0
AA,438,7,0,1,0
UA,354,3,0,1,0
AA,568,6,0,1,0
AA,658,1,0,1,0
AA,385,1,0,1,0
AA,569,2,0,1,0
AA,446,6,0,1,1
AA,201,1,0,1,0
AA,621,0,1,1,0
AA,658,5,0,1,0
AA,658,4,0,1,0
UA,658,0,0,1,0
AA,661,6,0,1,0
UA,643,5,0,1,0
AA,202,4,0,1,0
AA,644,2,1,0,0
UA,298,7,0,1,0
UA,626,1,0,1,0
UA,385,6,0,1,0
UA,658,2,0,1,0
UA,632,4,0,1,0
UA,658,1,0,1,0
AA,198,3,0,1,1
AA,395,7,0,1,0
AA,638,1,0,1,0
AA,1452,1,1,0,0
AA,658,1,0,1,0
AA,658,5,0,1,0
AA,353,1,0,1,0
AA,658,6,0,1,0
UA,438,5,0,1,0
AA,435,6,0,1,0
AA,638,1,0,1,0
AA,658,2,0,1,0
AA,385,7,0,1,0
UA,337,5,0,1,0
AA,333,2,0,1,0
UA,302,5,0,1,0
AA,1502,2,1,0,1
UA,658,3,0,1,0
AA,458,7,0,1,0
UA,387,5,0,1,0
AA,569,1,0,1,0
AA,658,6,0,1,0
UA,658,5,0,1,0
AA,385,7,0,1,0
UA,658,1,0,1,0
AA,658,1,0,1,0
AA,300,7,0,1,0
AA,1072,4,1,1,0
UA,263,1,0,1,1
AA,658,2,0,1,0
AA,305,1,0,1,0
AA,658,3,0,1,0
AA,438,7,0,1,0
AA,300,7,0,1,0
UA,632,5,0,1,0
UA,433,1,0,1,0
UA,441,6,0,1,0
AA,263,7,0,1,0
UA,387,2,0,1,0
UA,658,1,0,1,0
UA,263,4,0,1,0
UA,391,2,0,1,1
AA,658,1,0,1,0
UA,448,7,0,1,0
UA,643,5,0,1,0
UA,658,1,0,1,0
UA,435,1,0,1,0
AA,386,3,0,1,0
AA,648,6,0,1,0
UA,390,7,0,1,0
AA,658,2,0,1,0
AA,648,1,0,1,0
UA,574,5,0,1,0
UA,441,5,0,1,0
UA,569,0,0,1,0
UA,569,1,0,1,0
UA,387,1,0,1,0
AA,458,5,0,1,0
AA,658,3,0,1,0
AA,645,5,0,0,0
AA,332,5,0,1,0
AA,645,5,0,1,0
UA,658,0,0,1,0
AA,458,7,0,1,0
AA,658,3,0,1,0
AA,658,1,0,1,0
AA,446,6,0,1,0
AA,398,1,0,1,0
UA,298,7,0,1,0
UA,658,1,0,1,0
UA,569,1,0,1,0
AA,1022,1,1,1,0
AA,385,7,0,1,0
UA,448,7,0,1,0
AA,658,2,0,1,0
AA,658,0,0,1,0
AA,448,1,0,1,0
UA,638,0,0,1,0
AA,198,7,0,1,0
AA,658,5,0,1,0
AA,338,7,0,1,0
AA,658,1,0,1,0
AA,645,4,0,1,0
AA,442,2,0,1,0
UA,395,7,0,1,0
AA,658,1,0,1,0
UA,311,5,0,1,1
UA,387,1,0,1,0
UA,436,4,0,1,1
AA,645,6,1,1,0
UA,643,3,0,1,0
AA,439,1,0,1,0
AA,385,7,0,1,0
UA,438,6,0,1,0
AA,448,3,0,1,0
AA,612,2,0,1,0
AA,645,5,0,0,0
AA,302,7,0,1,0
UA,638,4,0,1,0
UA,569,0,0,1,0
AA,178,7,0,1,0
UA,632,1,0,1,0
UA,658,1,0,1,0
AA,658,3,0,1,0
AA,638,4,0,1,0
AA,438,0,0,1,0
AA,617,1,0,1,0
AA,638,5,0,1,0
AA,432,0,0,1,1
AA,658,3,0,1,0
UA,574,2,0,1,0
AA,569,5,0,1,0
AA,395,7,0,1,0
AA,622,1,0,0,0
AA,458,7,0,1,0
UA,204,5,0,1,1
AA,658,3,0,1,0
AA,392,7,0,1,0
AA,616,1,0,0,0
AA,648,5,0,1,0
UA,433,2,0,1,0
AA,396,6,0,1,0
AA,568,4,0,1,0
AA,371,1,0,1,0
AA,300,5,0,1,0
AA,1072,2,1,1,0
UA,263,5,0,1,0
AA,1502,1,1,0,0
UA,458,5,0,1,0
AA,648,4,0,1,0
AA,201,5,0,1,0
UA,658,3,0,1,0
UA,658,2,0,1,0
AA,438,7,0,1,0
AA,290,1,0,1,0
UA,658,4,0,1,0
AA,645,5,0,1,0
AA,1064,4,1,1,0
UA,332,5,0,1,0
UA,448,7,0,1,0
AA,387,5,0,1,0
AA,333,5,0,1,0
UA,332,6,0,1,0
AA,612,3,0,1,0
AA,332,6,0,1,0
UA,311,3,0,1,0
AA,569,2,0,1,0
AA,439,3,0,1,0
UA,332,6,0,1,1
AA,396,6,0,1,0
AA,300,7,0,1,0
AA,650,2,0,1,0
AA,438,7,0,1,0
UA,438,7,0,1,0
AA,395,5,0,1,0
AA,1502,1,1,0,0
AA,436,4,0,1,0
UA,648,6,0,1,0
AA,304,7,0,1,0
AA,658,2,0,1,0
AA,168,7,0,1,0
AA,300,7,0,1,0
AA,647,3,0,0,0
UA,433,1,0,1,1
AA,453,4,0,1,0
AA,451,6,0,1,0
UA,458,5,0,1,0
AA,567,0,0,1,0
AA,309,1,0,1,0
AA,332,6,0,1,0
AA,439,0,0,1,0
AA,438,7,0,1,0
AA,265,6,0,1,1
AA,375,2,0,1,0
UA,332,6,0,1,0
UA,642,1,0,1,1
UA,658,5,0,1,0
AA,395,7,0,1,0
AA,1072,1,1,1,0
UA,626,0,0,1,0
AA,569,2,0,1,0
AA,438,7,0,1,0
UA,332,6,0,1,0
AA,263,7,0,1,0
AA,658,1,0,1,0
AA,645,6,0,1,0
UA,385,7,0,1,0
UA,658,1,0,1,0
AA,645,5,0,1,0
AA,458,7,0,1,0
UA,569,0,0,1,0
AA,645,5,1,0,0
UA,637,2,0,1,0
UA,631,1,0,1,0
UA,569,1,0,1,0
UA,357,1,0,1,0
UA,385,7,0,1,0
AA,638,1,1,1,1
UA,658,2,0,1,0
AA,448,7,0,1,0
AA,638,4,0,1,0
AA,612,2,0,0,0
AA,218,7,0,1,0
AA,332,7,0,1,0
UA,294,5,0,1,1
AA,658,3,0,1,0
AA,658,5,0,1,0
UA,325,1,0,1,1
AA,636,5,0,0,0
UA,643,4,0,1,0
AA,612,6,0,0,0
