carrier,rtrip_fare,advance,busclass,nonrefundable,satstayover
AA,648,5,0,1,0
AA,448,3,0,1,0
AA,237,15,0,1,0
AA,1072,2,1,1,0
UA,260,10,0,1,1
AA,456,6,0,1,0
AA,335,9,0,1,0
AA,237,26,0,1,0
AA,458,8,0,1,0
UA,648,1,0,1,0
UA,202,43,0,1,1
AA,202,54,0,1,0
AA,438,12,0,1,0
AA,658,1,0,1,0
AA,658,4,0,1,0
AA,648,1,0,1,0
UA,347,21,0,1,0
UA,658,2,0,1,0
AA,168,17,0,1,1
AA,443,8,0,1,0
UA,259,39,0,1,1
UA,257,24,0,1,1
UA,390,8,0,1,0
AA,198,12,0,1,1
UA,438,2,0,1,0
AA,168,54,0,1,0
AA,202,3,0,1,0
AA,168,22,0,1,1
UA,168,26,0,1,0
AA,292,13,0,1,1
UA,238,31,0,1,1
UA,256,18,0,1,0
UA,658,1,0,1,0
AA,286,2,1,1,0
AA,438,13,0,1,0
UA,246,14,0,1,0
AA,633,4,0,0,0
AA,448,8,0,1,0
UA,658,0,0,1,0
UA,385,12,0,1,0
UA,385,7,0,1,0
UA,207,27,0,1,1
AA,206,19,0,1,0
AA,448,7,0,1,0
UA,256,17,0,1,0
AA,404,1,0,1,0
AA,439,2,0,1,0
AA,567,1,0,1,0
AA,208,11,0,1,0
UA,168,27,0,1,0
AA,168,33,0,1,0
UA,188,51,0,1,1
AA,217,11,0,1,0
AA,443,8,0,1,0
AA,246,19,0,1,1
AA,378,20,0,1,0
AA,198,1,0,1,0
AA,168,38,0,1,1
UA,433,4,0,1,0
AA,385,30,0,1,0
AA,202,44,0,1,1
UA,658,1,0,1,1
UA,658,4,0,1,0
UA,258,42,0,1,0
AA,569,2,0,1,0
AA,569,0,0,1,0
UA,186,31,0,1,1
AA,338,11,0,1,0
UA,247,19,0,1,0
UA,168,33,0,1,1
UA,238,31,0,1,1
AA,386,1,0,1,0
AA,385,11,0,1,0
AA,168,24,0,1,1
UA,446,5,0,1,0
AA,658,1,0,1,0
AA,448,13,0,1,0
AA,198,10,0,1,0
AA,612,5,0,0,0
AA,168,28,0,1,1
UA,658,2,0,1,0
UA,569,3,0,1,0
AA,645,1,1,1,0
AA,237,29,0,1,0
AA,168,41,0,1,0
AA,408,20,0,1,0
AA,206,33,0,1,0
AA,658,3,0,1,0
UA,307,129,0,1,1
UA,332,6,0,1,0
AA,198,49,0,1,0
AA,168,26,0,1,1
AA,208,53,0,1,0
AA,354,1,0,1,0
AA,318,55,0,1,0
AA,240,22,0,1,1
AA,198,15,0,1,1
AA,294,12,0,1,0
UA,313,14,0,1,0
AA,298,17,0,1,0
AA,198,38,0,1,1
UA,318,25,0,1,1
UA,188,10,0,1,1
UA,168,29,0,1,0
AA,168,16,0,1,1
AA,237,56,0,1,0
UA,187,26,0,1,0
AA,1502,2,1,0,1
AA,168,40,0,1,0
AA,237,19,0,1,0
AA,202,14,0,1,0
UA,433,4,0,1,0
AA,378,21,0,1,0
UA,448,10,0,1,0
AA,398,5,0,1,0
AA,168,11,0,1,0
UA,448,11,0,1,0
AA,428,14,0,1,0
UA,658,0,0,1,0
UA,312,18,0,1,0
AA,385,7,0,1,0
AA,207,24,0,1,0
AA,178,8,0,1,0
AA,374,14,0,1,0
UA,298,7,0,1,0
AA,332,5,0,1,0
AA,279,74,0,1,0
AA,332,7,0,1,0
AA,208,44,0,1,1
