store_id,region,near_university,open_date,closure_start,closure_end
S001,North,False,2016-05-22,,
S002,South,False,2016-01-27,,
S003,East,False,2021-12-02,,
S004,West,False,2022-08-24,,
S005,North,True,2014-12-24,,
S006,South,False,2021-07-16,,
S007,East,False,2020-06-23,,
S008,West,False,2021-10-29,,
S009,North,False,2019-04-16,,
S010,South,True,2023-11-10,,
S011,East,False,2014-05-11,,
S012,West,False,2019-10-08,,
S013,North,False,2016-03-21,,
S014,South,False,2014-08-10,,
S015,East,True,2023-03-20,,
S016,West,False,2022-10-04,,
S017,North,True,2023-11-14,,
S018,South,False,2018-01-21,,
S019,East,False,2014-08-08,,
S020,West,True,2017-12-15,,
S021,North,False,2022-08-15,,
S022,South,False,2015-02-13,,
S023,East,False,2016-06-30,,
S024,West,False,2022-01-06,,
S025,North,True,2015-06-25,,
S026,South,False,2018-03-30,,
S027,East,False,2022-03-07,,
S028,West,False,2023-05-05,,
S029,North,True,2018-06-01,,
S030,South,True,2014-05-09,,
S031,East,False,2014-04-04,,
S032,West,False,2018-05-18,,
S033,North,False,2021-01-14,,
S034,South,False,2020-09-11,,
S035,East,True,2018-03-05,,
S036,West,False,2019-07-06,,
S037,North,False,2022-12-26,,
S038,South,False,2023-04-28,,
S039,East,False,2020-01-05,,
S040,West,True,2018-07-23,,
S041,North,False,2015-03-28,,
S042,South,False,2021-08-15,,
S043,East,False,2019-09-05,,
S044,West,False,2016-07-17,,
S045,North,False,2023-04-05,,
S046,South,False,2017-08-06,,
S047,East,False,2015-01-27,,
S048,West,False,2022-09-14,,
S049,North,False,2022-07-17,,
S050,South,True,2015-03-26,,
S051,East,False,2016-09-08,,
S052,West,False,2015-03-26,,
S053,North,False,2015-03-11,,
S054,South,False,2016-04-09,,
S055,East,True,2017-02-13,2026-08-03,2026-08-16
S056,West,False,2022-09-18,,
S057,North,False,2014-02-12,,
S058,South,False,2017-05-03,,
S059,East,False,2017-03-14,,
S060,West,True,2020-12-11,,
S061,North,True,2017-08-06,,
S062,South,False,2023-07-03,,
S063,East,False,2014-01-31,,
S064,West,False,2022-08-21,,
S065,North,True,2015-08-01,,
S066,South,False,2020-06-22,,
S067,East,False,2021-11-22,,
S068,West,False,2020-04-17,,
S069,North,False,2016-02-12,,
S070,South,True,2015-11-23,,
S071,East,False,2017-05-19,,
S072,West,False,2019-04-06,,
S073,North,False,2017-05-12,,
S074,South,False,2019-10-17,,
S075,East,True,2018-03-19,,
S076,West,False,2021-06-11,,
S077,North,False,2016-02-05,,
S078,South,False,2021-12-28,,
S079,East,False,2022-02-09,,
S080,West,True,2020-04-16,,
S081,North,False,2021-02-14,,
S082,South,False,2017-11-21,,
S083,East,True,2014-10-04,,
S084,West,False,2022-10-14,,
S085,North,True,2017-03-04,,
S086,South,False,2015-01-04,,
S087,East,False,2014-12-17,,
S088,West,False,2021-08-26,,
S089,North,False,2023-06-02,,
S090,South,True,2021-09-12,,
S091,East,False,2022-09-20,,
S092,West,False,2017-06-06,,
S093,North,False,2021-06-18,,
S094,South,False,2021-01-08,,
S095,East,True,2023-12-05,,
S096,West,False,2016-10-25,,
S097,North,False,2019-08-29,,
S098,South,False,2021-05-11,,
S099,East,False,2022-02-01,,
S100,West,True,2015-03-01,,
S101,North,False,2023-03-27,,
S102,South,False,2016-03-28,2026-03-02,2026-03-15
S103,East,False,2015-03-07,,
S104,West,False,2023-05-03,,
S105,North,False,2021-08-24,,
S106,South,False,2020-03-29,,
S107,East,False,2020-02-25,,
S108,West,False,2021-06-07,,
S109,North,False,2023-01-11,,
S110,South,True,2014-03-07,,
S111,East,False,2019-03-03,,
S112,West,False,2017-06-07,,
S113,North,False,2021-06-09,,
S114,South,False,2016-08-04,,
S115,East,False,2019-07-18,,
S116,West,False,2020-09-29,,
S117,North,False,2014-07-31,,
S118,South,False,2019-03-25,,
S119,East,False,2020-09-10,,
S120,West,False,2023-02-28,,
