visit_id,store_id,visit_date,daypart,shopper_id,shopper_type,wait_time_min,order_accurate,score_speed,score_service,score_cleanliness,overall_score,adj_score
CK-100001,S015,2026-01-05,evening,P11,professional,8.3,1,78.0,81.0,77.0,78.8,78.8
CK-100002,S019,2026-01-05,morning,P19,professional,4.7,1,70.0,69.0,71.0,69.6,69.6
CK-100003,S021,2026-01-05,evening,P09,professional,3.7,1,89.0,91.0,83.0,85.0,85.0
CK-100004,S036,2026-01-05,morning,P03,professional,3.1,1,69.0,75.0,69.0,71.3,71.3
CK-100005,S060,2026-01-05,midday,P11,professional,7.7,1,68.0,68.0,70.0,67.5,67.5
CK-100006,S065,2026-01-05,midday,P20,professional,7.4,1,91.0,92.0,93.0,87.3,87.3
CK-100007,S071,2026-01-05,evening,P19,professional,10.9,1,67.0,69.0,65.0,63.9,63.9
CK-100008,S081,2026-01-05,morning,P04,professional,4.7,0,93.0,95.0,82.0,88.9,88.9
CK-100009,S090,2026-01-05,evening,P18,professional,9.9,1,79.0,71.0,75.0,74.1,74.1
CK-100010,S102,2026-01-05,midday,P03,professional,6.3,1,70.0,60.0,63.0,64.1,64.1
CK-100011,S108,2026-01-05,morning,P11,professional,2.4,1,75.0,89.0,80.0,79.9,79.9
CK-100012,S109,2026-01-05,morning,P29,professional,6.4,1,79.0,84.0,87.0,89.4,89.4
CK-100013,S115,2026-01-05,morning,P26,professional,4.4,1,74.0,64.0,65.0,72.4,72.4
CK-100014,S004,2026-01-06,morning,P03,professional,4.4,1,77.0,78.0,81.0,77.3,77.3
CK-100015,S014,2026-01-06,midday,P05,professional,2.0,1,70.0,70.0,79.0,78.3,78.3
CK-100016,S016,2026-01-06,morning,P26,professional,4.4,1,76.0,76.0,76.0,77.5,77.5
CK-100017,S024,2026-01-06,evening,P13,professional,4.6,0,75.0,77.0,79.0,77.5,77.5
CK-100018,S026,2026-01-06,morning,P11,professional,6.7,1,75.0,78.0,83.0,75.4,75.4
CK-100019,S056,2026-01-06,midday,P13,professional,4.8,1,71.0,65.0,73.0,76.3,76.3
CK-100020,S057,2026-01-06,morning,P27,professional,3.3,1,94.0,100.0,98.0,95.9,95.9
CK-100021,S059,2026-01-06,midday,P10,professional,3.4,1,82.0,80.0,82.0,79.0,79.0
CK-100022,S075,2026-01-06,evening,P22,professional,7.4,1,90.0,74.0,78.0,79.4,79.4
CK-100023,S076,2026-01-06,evening,P19,professional,8.3,1,65.0,70.0,79.0,73.3,73.3
CK-100024,S079,2026-01-06,evening,P11,professional,4.2,1,78.0,83.0,75.0,76.4,76.4
CK-100025,S096,2026-01-06,evening,P28,professional,3.9,1,84.0,83.0,86.0,81.4,81.4
CK-100026,S097,2026-01-06,morning,P21,professional,3.3,1,79.0,84.0,86.0,86.0,86.0
CK-100027,S100,2026-01-06,morning,P10,professional,2.2,1,84.0,87.0,87.0,87.1,87.1
CK-100028,S103,2026-01-06,evening,P12,professional,4.4,1,78.0,82.0,74.0,77.9,77.9
CK-100029,S112,2026-01-06,morning,P10,professional,3.7,1,88.0,95.0,86.0,84.2,84.2
CK-100030,S118,2026-01-06,morning,P07,professional,3.7,1,79.0,90.0,90.0,84.2,84.2
CK-100031,S002,2026-01-07,midday,P09,professional,6.4,1,80.0,85.0,82.0,83.0,83.0
CK-100032,S004,2026-01-07,morning,P18,professional,6.7,1,88.0,84.0,83.0,82.2,82.2
CK-100033,S009,2026-01-07,evening,P01,professional,7.9,1,67.0,79.0,75.0,75.2,75.2
CK-100034,S010,2026-01-07,morning,P14,professional,7.5,1,93.0,85.0,95.0,88.0,88.0
CK-100035,S018,2026-01-07,morning,P17,professional,5.5,1,92.0,81.0,94.0,91.5,91.5
CK-100036,S021,2026-01-07,evening,P12,professional,3.8,1,74.0,77.0,78.0,71.4,71.4
CK-100037,S022,2026-01-07,morning,P25,professional,5.9,1,80.0,92.0,86.0,83.0,83.0
CK-100038,S025,2026-01-07,evening,P27,professional,7.7,1,76.0,78.0,78.0,77.3,77.3
CK-100039,S026,2026-01-07,midday,P26,professional,4.8,1,71.0,81.0,72.0,76.7,76.7
CK-100040,S031,2026-01-07,morning,P19,professional,3.3,1,71.0,76.0,76.0,73.6,73.6
CK-100041,S032,2026-01-07,midday,P22,professional,2.9,1,74.0,79.0,85.0,84.9,84.9
CK-100042,S042,2026-01-07,midday,P30,professional,5.3,1,84.0,77.0,79.0,79.0,79.0
CK-100043,S052,2026-01-07,morning,P18,professional,5.5,1,84.0,86.0,84.0,90.6,90.6
CK-100044,S058,2026-01-07,morning,P13,professional,3.0,1,71.0,73.0,67.0,73.0,73.0
CK-100045,S072,2026-01-07,evening,P12,professional,4.1,1,79.0,87.0,82.0,81.1,81.1
CK-100046,S073,2026-01-07,midday,P28,professional,4.4,1,100.0,92.0,86.0,92.7,92.7
